delivery_date,route_id,vehicle_id_list,route_name,store_count,sum_ambient_turnover_boxes,sum_ambient_cartons,sum_ambient_full_cases,sum_frozen_bags,sum_frozen_cartons,route_load_other,trip_distance_km_one_way,missing_segment_count
2026-01-23,777,京FNV919,北京南站,3,0.0,0.0,0.0,5.0,0.0,0.041667,39.645,0
2026-01-24,555,京MHE650,北京站,3,2.0,11.0,204.0,10.0,0.0,0.658785,34.335,0
2026-01-24,666,京HJH201,朝阳高铁,1,1.0,4.0,219.0,6.0,2.0,0.646936,24.393,0
2026-01-24,777,京FNV919,北京南站,3,0.0,0.0,0.0,10.0,1.0,0.085965,39.645,0
2026-01-26,555,京N7JE86,北京站,3,23.0,34.0,81.0,4.0,0.0,0.447076,34.335,0
2026-01-26,666,京HJH201,朝阳高铁站,1,18.0,18.0,127.0,6.0,2.0,0.523799,24.393,0
2026-01-26,701,京FNV919,市内加车,2,10.0,9.0,96.0,0.0,0.0,0.324625,49.047,0
2026-01-26,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2026-01-27,555,京N7JE86,北京站,3,6.0,7.0,228.0,3.0,1.0,0.675038,34.335,0
2026-01-27,666,京HJH201,朝阳高铁站,1,1.0,5.0,196.0,5.0,0.0,0.575445,24.393,0
2026-01-27,777,京FNV919,北京南站,3,0.0,0.0,0.0,9.0,0.0,0.075,39.645,0
2026-01-28,555,京N7JE86,北京站,3,9.0,11.0,85.0,5.0,0.0,0.337777,34.335,0
2026-01-28,666,京HJH201,朝阳高铁站,1,5.0,18.0,74.0,4.0,0.0,0.299593,24.393,0
2026-01-28,777,京FNV919,北京南站,3,22.0,17.0,199.0,4.0,0.0,0.708035,39.645,0
2026-01-29,555,京N7JE86,北京站,3,1.0,6.0,107.0,7.0,0.0,0.360533,34.335,0
2026-01-29,666,京HJH201,朝阳高铁站,1,3.0,1.0,204.0,5.0,1.0,0.598265,24.393,0
2026-01-29,777,京FNV919,北京南站,3,2.0,5.0,223.0,3.0,0.0,0.634662,39.645,0
2026-01-30,555,京N7JE86,北京站,3,10.0,5.0,72.0,2.0,0.0,0.267607,34.335,0
2026-01-30,666,京HJH201,朝阳高铁站,1,20.0,43.0,204.0,0.0,0.0,0.746618,24.393,0
2026-01-30,777,京FNV919,北京南站,3,0.0,0.0,0.0,7.0,0.0,0.058333,39.645,0
2026-01-31,555,京N7JE86,北京站,3,2.0,89.0,189.0,6.0,0.0,0.791241,34.335,0
2026-01-31,666,京HJH201,朝阳高铁,1,0.0,0.0,0.0,6.0,3.0,0.057895,24.393,0
2026-01-31,701,京FAQ401,怀柔加车,4,1.0,5.0,2.0,4.0,0.0,0.056585,157.793,0
2026-01-31,777,京FNV919,北京南站,3,0.0,0.0,0.0,11.0,1.0,0.094298,39.645,0
2026-02-02,555,京N7JE86,北京站,3,10.0,12.0,112.0,9.0,2.0,0.454888,34.335,0
2026-02-02,666,京HJH201,朝阳高铁站,1,19.0,41.0,137.0,6.0,0.0,0.610208,24.393,0
2026-02-02,701,京FNV919,市内加车,1,5.0,5.0,71.0,0.0,0.0,0.224155,45.323,0
2026-02-02,777,京FNV919,北京南站,3,37.0,21.0,305.0,0.0,0.0,1.036639,39.645,0
2026-02-03,555,京N7JE86,北京站,3,4.0,4.0,217.0,9.0,0.0,0.675903,34.335,0
2026-02-03,666,京HJH201,朝阳高铁站,1,3.0,6.0,178.0,4.0,4.0,0.542563,24.393,0
2026-02-03,701,京FNV919,市内加车,2,4.0,3.0,110.0,0.0,0.0,0.316692,49.047,0
2026-02-03,777,京FNV919,北京南站,3,4.0,6.0,308.0,0.0,0.0,0.845639,39.645,0
2026-02-04,555,京N7JE86,北京站,3,12.0,17.0,82.0,4.0,0.0,0.351831,34.335,0
2026-02-04,666,京HJH201,朝阳高铁站,1,8.0,31.0,121.0,6.0,1.0,0.491279,24.393,0
2026-02-04,777,京FNV919,北京南站,3,0.0,0.0,0.0,5.0,0.0,0.041667,39.645,0
2026-02-05,555,京N7JE86,北京站,3,2.0,4.0,236.0,3.0,0.0,0.666241,34.335,0
2026-02-05,666,京HJH201,朝阳高铁站,1,1.0,16.0,257.0,5.0,3.0,0.772813,24.393,0
2026-02-05,777,京FNV919,北京南站,3,3.0,4.0,218.0,4.0,1.0,0.634668,39.645,0
2026-02-06,555,京N7JE86,北京站,3,18.0,37.0,103.0,4.0,1.0,0.491342,34.335,0
2026-02-06,666,京HJH201,朝阳高铁站,1,4.0,7.0,154.0,7.0,1.0,0.503973,24.393,0
2026-02-06,777,京FNV919,北京南站,3,0.0,0.0,0.0,9.0,2.0,0.080263,39.645,0
2026-02-07,555,京N7JE86,北京站,3,3.0,4.0,286.0,6.0,1.0,0.830282,34.335,0
2026-02-07,666,京HJH201,朝阳高铁,1,1.0,0.0,217.0,6.0,3.0,0.633778,24.393,0
2026-02-07,777,京FNV919,北京南站,3,0.0,0.0,0.0,9.0,8.0,0.096053,39.645,0
2026-02-09,555,京N7JE86,北京站,3,23.0,25.0,134.0,8.0,3.0,0.604094,34.335,0
2026-02-09,666,京HJH201,朝阳高铁站,1,0.0,0.0,0.0,11.0,2.0,0.09693,24.393,0
2026-02-09,701,京FNV919,怀柔加车,3,10.0,9.0,69.0,9.0,1.0,0.331204,55.189,0
2026-02-09,777,京FNV919,北京南站,3,46.0,52.0,253.0,0.0,0.0,1.024854,39.645,0
2026-02-10,555,京N7JE86,北京站,3,1.0,1.0,124.0,12.0,0.0,0.433778,34.335,0
