导出时间: 2026-04-14 20:36:30

==== store_wave_load_resolved ====
shop_code	wave_belongs	wave1_load	wave2_load	wave3_load	wave4_load	total_resolved_load	first_wave_time	second_wave_time	arrival_time_w3	arrival_time_w4	updated_at
409392	3	0	0	0	0	0	None	None	02:00	None	2026-04-14 18:42:48
461717	3	0	0	0.205271	0	0.205271	None	None	01:40	None	2026-04-14 18:42:48
462710	3	0	0	0	0	0	None	None	03:50	None	2026-04-14 18:42:48
462717	3	0	0	0	0	0	None	None	00:01	None	2026-04-14 18:42:48
466370	3	0	0	0.118966	0	0.118966	None	None	02:30	None	2026-04-14 18:42:48
466435	3	0	0	0.082093	0	0.082093	None	None	03:30	None	2026-04-14 18:42:48
466455	3	0	0	0.059499	0	0.059499	None	None	01:00	None	2026-04-14 18:42:48
466506	3	0	0	0.117212	0	0.117212	None	None	00:01	None	2026-04-14 18:42:48
466653	3	0	0	0.038427	0	0.038427	None	None	04:00	None	2026-04-14 18:42:48
466697	3	0	0	0.12287	0	0.12287	None	None	00:30	None	2026-04-14 18:42:48
467708	3	0	0	0	0	0	None	None	03:00	None	2026-04-14 18:42:48
469475	3	0	0	0.150564	0	0.150564	None	None	03:30	None	2026-04-14 18:42:48
469476	3	0	0	0.101629	0	0.101629	None	None	03:10	None	2026-04-14 18:42:48
469517	3	0	0	0.074837	0	0.074837	None	None	01:30	None	2026-04-14 18:42:48
469559	3	0	0	0.069994	0	0.069994	None	None	04:10	None	2026-04-14 18:42:48
469585	3	0	0	0.148785	0	0.148785	None	None	00:01	None	2026-04-14 18:42:48
469588	3	0	0	0.167626	0	0.167626	None	None	23:30	None	2026-04-14 18:42:48
469659	3	0	0	0.059292	0	0.059292	None	None	03:30	None	2026-04-14 18:42:48
469660	3	0	0	0.101623	0	0.101623	None	None	02:30	None	2026-04-14 18:42:48
469691	3	0	0	0.111479	0	0.111479	None	None	02:00	None	2026-04-14 18:42:48
471708	3	0	0	0.03183	0	0.03183	None	None	03:30	None	2026-04-14 18:42:48
478480	3	0	0	0.11282	0	0.11282	None	None	01:00	None	2026-04-14 18:42:48
478481	3	0	0	0.096573	0	0.096573	None	None	01:30	None	2026-04-14 18:42:48
478566	3	0	0	0.06146	0	0.06146	None	None	01:15	None	2026-04-14 18:42:48
478567	3	0	0	0.053108	0	0.053108	None	None	00:01	None	2026-04-14 18:42:48
478571	3	0	0	0.056423	0	0.056423	None	None	01:00	None	2026-04-14 18:42:48
478572	3	0	0	0.13626	0	0.13626	None	None	01:30	None	2026-04-14 18:42:48
478573	3	0	0	0.087356	0	0.087356	None	None	23:40	None	2026-04-14 18:42:48
478581	3	0	0	0.07334	0	0.07334	None	None	01:50	None	2026-04-14 18:42:48
478582	3	0	0	0.105151	0	0.105151	None	None	02:30	None	2026-04-14 18:42:48
478583	3	0	0	0.063446	0	0.063446	None	None	01:45	None	2026-04-14 18:42:48
478584	3	0	0	0.08495	0	0.08495	None	None	02:00	None	2026-04-14 18:42:48
478610	3	0	0	0.077475	0	0.077475	None	None	00:00	None	2026-04-14 18:42:48
478648	3	0	0	0.053146	0	0.053146	None	None	00:30	None	2026-04-14 18:42:48

==== wms_cargo_raw_clean_snapshot ====
shop_code	rpcs	rcase	bpcs	bpaper	apcs	apaper	rpaper	source_tag	batch_tag	created_at	updated_at
399569	6	17	2	1	14	0	7	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394620	18	54	8	0	51	10	10	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394268	0	0	0	0	0	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
398090	3	12	1	0	8	0	0	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
394048	5	26	3	3	19	0	2	huoliang_txt	2026-04-13-huoliang	2026-04-13 14:34:25	2026-04-13 14:34:25
